topic0,3.651116072,0.083096068,,8.309606825
topic1,1.119575923,0.025480526,,2.548052581
topic2,1.048173677,0.023855476,,2.385547588
topic3,1.082259035,0.024631228,,2.46312275
topic4,1.084388255,0.024679687,,2.467968661
topic5,1.723164124,0.039217642,,3.921764218
topic6,4.644319849,0.105700479,,10.57004794
topic7,2.366352174,0.053856015,,5.385601495
topic8,0.661510142,0.015055367,,1.505536685
topic9,2.199703885,0.050063252,,5.006325205
topic10,7.082230646,0.161185103,,16.11851033
topic11,1.369373525,0.031165691,,3.116569117
topic12,1.470315359,topic eliminated,,#VALUE!
topic13,2.979347755,0.067807235,,6.780723469
topic14,1.051430745,0.023929604,,2.392960378
topic15,1.922360394,0.043751167,,4.375116741
topic16,2.483119752,0.056513538,,5.651353841
topic17,2.507721874,0.05707346,,5.707346024
topic18,2.116378576,0.048166844,,4.81668441
topic19,1.632387065,0.037151639,,3.71516392
topic20,1.170036488,topic eliminated,,#VALUE!
topic21,1.213580241,0.027619978,,2.761997827
topic22,1.910553854,topic eliminated,,#VALUE!
