Dataset1 Labels,AFF,CON,FIRE,MFG,OTH,RET,SVC,TPU
BCP,6.96,5.98,7.76,7.80,8.10,7.79,7.47,8.15
JBP,3.51,5.24,4.96,4.98,4.48,5.22,4.92,5.45
WAI,4.15,5.83,4.71,5.36,4.64,4.91,4.95,4.74
CAC,4.99,4.36,5.43,4.91,6.43,6.43,6.49,4.72
TOC,4.04,5.96,6.03,5.74,6.40,5.93,6.07,5.92
EQR,7.18,9.29,5.98,7.29,6.07,6.27,6.17,5.70
WLB,4.52,5.12,4.61,4.80,5.73,6.57,4.63,4.68
TOL,6.86,7.66,6.14,6.65,6.38,6.61,7.00,7.29
CMO,3.87,6.07,5.88,5.19,4.71,4.62,5.20,6.00
FWH,4.78,3.63,3.81,3.79,3.22,3.52,3.44,3.19
CWO,6.82,4.72,4.60,5.10,7.41,4.72,4.81,4.35
AGD,7.80,6.82,6.47,6.17,7.47,5.95,6.65,6.85
VAC,4.76,4.13,4.46,4.27,3.90,4.30,4.28,4.42
WFH,4.61,3.17,4.36,4.15,3.64,3.56,3.90,4.16
GMN,9.09,5.96,8.81,7.88,6.28,7.37,6.79,7.49
WHR,4.99,4.99,5.47,5.73,6.29,5.60,5.92,6.92
WAT,5.10,5.16,5.29,5.30,4.02,5.58,5.62,4.80
WAN,5.99,5.93,5.23,4.88,4.82,5.04,5.68,5.17
