Deutsche Post AG,588
Siemens Healthineers AG,288
Siemens Aktiengesellschaft,288
Bertrandt Aktiengesellschaft,274
Sixt SE,236
Deutsche Telekom AG,212
Bechtle AG,206
Continental Aktiengesellschaft,205
Zalando SE,184
thyssenkrupp AG,166
BASF SE,160
Allianz SE,154
Commerzbank AG,151
Telefónica Deutschland Holding AG,143
Schaeffler AG,126
1&1 Drillisch AG,122
Cancom SE,121
Vonovia SE,120
Knorr-Bremse Aktiengesellschaft,111
Fielmann Aktiengesellschaft,101
Deutsche Bank AG,91
HELLA GmbH & Co. KGaA,83
Wüstenrot & Württembergische AG,82
Volkswagen AG,82
adidas ag,75
Scout24 AG,74
Linde AG,68
Daimler AG,66
freenet AG,64
Amadeus FiRe AG,63
Ströer SE & Co. KGaA,61
SMA Solar Technology AG,55
LEONI AG,54
Carl Zeiss Meditec AG,51
Gerresheimer AG,49
Krones AG,47
Evonik Industries AG,47
Rheinmetall AG,46
Wirecard AG,45
OSRAM Licht AG,45
Nordex SE,44
Fraport AG,43
Grand City Properties S.A.,40
Hugo Boss AG,39
Infineon Technologies AG,38
Jungheinrich Aktiengesellschaft,38
Aurubis AG,38
Bilfinger SE,37
MERCK Kommanditgesellschaft auf Aktien,36
Fresenius Medical Care AG & Co. KGaA,35
Deutsche Lufthansa AG,33
Henkel AG & Co. KGaA,32
Beiersdorf Aktiengesellschaft,32
Jenoptik AG,31
ProSiebenSat.1 Media SE,31
Drägerwerk AG & Co. KGaA,31
Sartorius Aktiengesellschaft,30
MTU Aero Engines AG,30
Uniper SE,29
QIAGEN N.V.,28
LANXESS Aktiengesellschaft,27
BayWa Aktiengesellschaft,27
CTS Eventim AG & Co. KGaA,25
zooplus AG,25
RTL Group SA,24
Brenntag AG,24
LPKF Laser & Electronics AG,24
GEA Group Aktiengesellschaft,23
Deutsche Wohnen SE,22
TeamViewer AG,21
CompuGroup Medical Societas Europaea,19
Metro AG,18
Salzgitter AG,17
Deutsche Börse AG,17
SNP Schneider-Neureither & Partner SE,17
Bayer Aktiengesellschaft,16
HelloFresh SE,16
CEWE Stiftung & Co. KGaA,16
Delivery Hero SE,16
Wacker Chemie AG,14
Aareal Bank AG,14
RWE Aktiengesellschaft,14
KWS SAAT SE & Co. KGaA,13
DEUTZ Aktiengesellschaft,13
LEG Immobilien AG,13
HOCHTIEF Aktiengesellschaft,13
WashTec AG,12
PUMA SE,11
Shop Apotheke Europe N.V.,11
Vossloh AG,11
JOST Werke AG,11
AIXTRON SE,11
GRENKE AG,11
Aroundtown SA,11
Symrise AG,10
RIB Software SE,10
SAP SE,10
Wacker Neuson SE,10
CORESTATE Capital Holding S.A.,9
KION GROUP AG,9
RHÖN-KLINIKUM Aktiengesellschaft,9
Covestro AG,9
Siltronic AG,8
United Internet AG,8
Deutsche Pfandbriefbank AG,7
Münchener Rückversicherungs-Gesellschaft AG,7
Software Aktiengesellschaft,7
TAG Immobilien AG,7
RATIONAL Aktiengesellschaft,7
DIC Asset AG,7
HeidelbergCement AG,6
Koenig & Bauer AG,6
Fresenius SE & Co. KGaA,5
Evotec SE,5
SAF-Holland SE,5
Stabilus S.A.,5
Encavis AG,4
Traton SE,4
Hypoport SE,4
Nemetschek SE,4
E.ON SE,4
NORMA Group SE,3
alstria office REIT-AG,3
Eckert & Ziegler Strahlen- und Medizintechnik AG,3
Südzucker AG,3
ADVA Optical Networking SE,3
Patrizia AG,3
Pfeiffer Vacuum Technology AG,3
MorphoSys AG,3
Rocket Internet SE,3
Isra Vision AG,3
Instone Real Estate Group AG,3
Deutsche Beteiligungs AG,2
Klöckner & Co SE,2
Hannover Rück SE,2
Elmos Semiconductor AG,2
K+S Aktiengesellschaft,1
New Work SE,1
Takkt AG,1
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,1
Deutsche EuroShop AG,1
Hamburger Hafen und Logistik Aktiengesellschaft,1
DWS Group GmbH & Co. KGaA,1
