Validation_Set,Topics,Coherence
75% Corpus,15,0.4504381121045912
75% Corpus,16,0.4229975033232425
75% Corpus,17,0.4350390842468258
75% Corpus,18,0.43716704410992535
75% Corpus,19,0.41169046165348755
75% Corpus,20,0.4409839105315669
75% Corpus,21,0.44327904965729653
75% Corpus,22,0.44848747690022445
75% Corpus,23,0.40755247228016245
75% Corpus,24,0.419409137051351
100% Corpus,15,0.4489200473682242
100% Corpus,16,0.429576324320343
100% Corpus,17,0.4338321266252906
100% Corpus,18,0.44211134223214726
100% Corpus,19,0.42415793825838594
100% Corpus,20,0.4337119279820074
100% Corpus,21,0.4307522817152587
100% Corpus,22,0.44829128264384904
100% Corpus,23,0.4353701691617474
100% Corpus,24,0.43545386727007757
